from;to;count;avg.;duration;<-std;dev.;avg.;velocity;<-[kph]
A15;A20;1250;14,8;4,9;1,29;34,7
A15;A16;667;21,8;5,1;1,42;38,4
A18;A17;442;28,3;13,5;0,74;20,0
A61;A60;542;43,6;6,4;1,54;41,5
A17;A18;428;18,0;6,0;1,17;31,5
A17;A19;653;21,5;11,8;0,61;16,3
A25;A24;1724;86,1;36,5;0,78;21,0
A21;A22;1411;16,9;1,0;1,78;48,0
A60;A61;564;44,9;6,5;1,49;40,3
A22;A23;1411;17,5;5,7;1,31;35,4
A22;A21;1507;52,9;29,3;0,57;15,3
A19;A17;653;22,6;11,9;0,58;15,5
A19;A16;672;22,0;5,3;1,41;38,1
A24;A25;1643;135,7;57,4;0,49;13,3
A24;A23;1606;31,5;7,0;1,43;38,6
A60;A18;15;41,9;3,2;1,48;40,0
A18;A60;24;44,4;5,4;1,40;37,7
A25;A98;1352;82,9;26,6;1,24;33,5
A98;A25;1386;157,2;59,0;0,66;17,7
A21;A14;1405;44,9;13,7;1,18;31,8
A23;A22;1507;13,2;1,1;1,75;47,2
A16;A19;654;29,1;10,0;1,07;28,8
A20;A14;1233;30,2;14,8;0,73;19,7
A16;A15;700;26,3;8,4;1,18;31,8
A20;A15;1242;20,5;10,5;0,93;25,0
A23;A24;1512;79,2;37,4;0,57;15,3
A14;A21;1288;65,0;29,3;0,81;22,0
A14;A20;1239;16,7;5,1;1,32;35,6
