100;163;0;0
200;342;0;0
300;529;0;0
400;657;11;1,69
500;830;19;1,69
600;972;64;1,71
700;1112;121;1,71
800;1212;193;1,72
900;1299;299;1,72
1000;1310;451;1,72
1100;1320;603;1,72
1200;1351;761;1,71
1300;1360;921;1,71
1400;1364;1102;1,71
1500;1348;1271;1,7
1600;1364;1436;1,7
1700;1368;1613;1,7
1800;1381;1788;1,7
1900;1374;1972;1,7
2000;1387;2136;1,7
2100;1383;2329;1,7
2200;1389;2507;1,69
2300;1385;2692;1,69
2400;1406;2850;1,69
2500;1437;3018;1,69
2600;1454;3198;1,69
2700;1480;3381;1,69
2800;1462;3557;1,69
2900;1451;3741;1,69
3000;1438;3929;1,69
3100;1409;4139;1,69
3200;1412;4314;1,69
3300;1424;4490;1,69
3400;1441;4655;1,69
3500;1426;4842;1,69
3600;1423;5037;1,69
3700;1440;5215;1,69
3800;1413;5418;1,69
3900;1413;5597;1,69
4000;1405;5776;1,68
4100;1397;5955;1,68
4200;1402;6125;1,68
4300;1395;6323;1,68
4400;1362;6507;1,68
4500;1382;6682;1,68
4600;1379;6848;1,68
4700;1368;7036;1,68
4800;1363;7219;1,68
4900;1341;7399;1,68
5000;1333;7571;1,68
